Date,State,Dead,Injured,Total,Description
31/12/2021,Maryland,0,4,4,An adult and three juveniles were wounded in an evening shooting.
31/12/2021,California,0,6,6,Six shoppers were wounded at a grocery supermarket by two shooters.
31/12/2021,Mississippi,4,3,7,"During an outdoor New Year's Eve party, a physical fight started escalated to a shooting, with multiple people firing guns."
30/12/2021,Pennsylvania,0,6,6,Six shooters opened fire on a busy street with six wounded.
30/12/2021,Missouri,2,2,4,An adult and infant were killed and two adults wounded in an afternoon shooting.
27/12/2021,Alabama,1,3,4,A man was killed and three others wounded at a local gas station.
27/12/2021,Colorado,6,2,8,A gunman went on a shooting spree across multiple locations in the Denver metropolitan area before dying in a shootout with police.
27/12/2021,Ohio,1,3,4,A man was killed and three others were wounded at a local apartment complex.
26/12/2021,New York,0,4,4,Four adults were wounded inside a pop-up store.
26/12/2021,Virginia,1,4,5,"Four people were wounded at a rest stop, and the shooter fled before police arrived. The shooter was later found dead."
26/12/2021,Texas,3,1,4,Three teenagers were killed and a fourth wounded in a convenience store.
26/12/2021,Mississippi,0,7,7,Seven people were wounded at a party in the early morning. An 18-year-old was later arrested.
26/12/2021,Pennsylvania,0,4,4,Four people were wounded in a drive by shooting in North Philadelphia.
25/12/2021,Louisiana,0,4,4,Four people were wounded near a Waffle House in the early morning.
24/12/2021,New York,0,4,4,Four men were wounded outside a Brooklyn deli shortly before midnight.
24/12/2021,Georgia,1,3,4,A woman was arrested after killing one and wounding three in a domestic incident at an apartment.
24/12/2021,Pennsylvania,0,6,6,"Six people were found wounded in a local home, with one identified as the potential shooter."
19/12/2021,Illinois,1,3,4,One man was killed and three others were wounded in a shooting across the street from a strip club.
17/12/2021,Maryland,1,3,4,One person was killed and three wounded in Upton.
17/12/2021,Virginia,0,4,4,Four adults were wounded in the early morning at a gentleman's club.
17/12/2021,Maryland,1,4,5,A man was killed and four people wounded in Penn North.
16/12/2021,Alabama,0,4,4,Four people were wounded in an afternoon shooting.
13/12/2021,California,0,4,4,Police were alerted to four wounded by gunfire after an argument escalated through a shotspotter alert.
13/12/2021,Pennsylvania,0,4,4,"Four adults were wounded in Kengsington, they were found by patrolling police."
13/12/2021,North Carolina,2,4,6,"Six people in an SUV were shot at in the early morning, causing the SUV to crash. Two adults were killed and four juveniles wounded."
12/12/2021,Mississippi,0,6,6,Six people were wounded at local sports bar in the early morning.
12/12/2021,Florida,0,5,5,"Five people were wounded in the early morning, a suspect was arrested days later."
12/12/2021,Texas,1,14,15,One person was killed and fourteen others wounded in a drive-by shooting at a memorial vigil in Baytown for another shooting victim.
12/12/2021,Virginia,0,4,4,Three security guards and a bystander were shot by a gunman at a nightclub.
11/12/2021,Illinois,1,3,4,"Four adults were shot at a bowling alley at approximately 1 AM, killing a 23-year-old man."
10/12/2021,Michigan,1,3,4,"Three teenagers and a baby were shot while in a car near an intersection, killing a 17-year-old girl."
10/12/2021,Florida,0,5,5,Five people were shot in a drive-by shooting in the Callahan neighborhood.
10/12/2021,North Carolina,0,5,5,Five people were shot in the Grier Heights neighborhood.
09/12/2021,Wisconsin,1,5,6,"Responding officers found one person killed and two wounded, with an additional two wounded found at the hospital."
06/12/2021,Pennsylvania,0,4,4,Three men and a teenager were wounded in Brewerytown.
05/12/2021,Michigan,2,2,4,"Four men were shot by a gunman, two of whom succumbed to their injuries."
05/12/2021,Texas,1,3,4,"A fight broke out in the parking lot of a bar, after a group was ejected. It escalated, with bystanders attempting to intervene. A man walked up and shot at the bystanders killing one and wounding three."
03/12/2021,Tennessee,2,2,4,Two teenagers were killed and a teenager and an infant were wounded in a drive-by shooting at a gas station.
02/12/2021,North Carolina,3,3,6,Responding officers found two adults and a child killed and three adults wounded.
30/11/2021,Michigan,4,7,11,"Oxford High School shooting: A 15-year-old student opened fire at Oxford High School initially killing three students and wounding seven others and a teacher, before being arrested. One of the wounded died a day later. The suspect was charged with four counts of murder and seven counts of attempted murder while his parents, who bought him the gun used in the shooting as an early Christmas present, were charged with four counts of involuntary manslaughter."
30/11/2021,Georgia,4,2,6,Responding officers to a domestic incident were shot at by the suspect. The suspect had killed two women and wounded a child previously. An officer and the suspect were killed and another officer was wounded.
28/11/2021,Maryland,0,7,7,Responding police found six adults and a teenager wounded in East Baltimore.
28/11/2021,Illinois,1,4,5,A teenager was killed and four others wounded at a gas station.
28/11/2021,California,5,0,5,A man killed his four children and his mother in law in their home. He turned himself in to police an hour later and was charged with five counts of murder.
28/11/2021,Colorado,0,5,5,Five youths were wounded in a shooting.
28/11/2021,Pennsylvania,0,4,4,Four people were wounded in an evening shooting in Kingsessing.
27/11/2021,New Jersey,1,3,4,A teenager was killed and three others were wounded after men in a car opened fire in the South Ward.
26/11/2021,Tennessee,3,4,7,"Home invaders killed two teenagers and wounded their mother, two teenage siblings and an adult sibling. One of the assailants was also killed."
25/11/2021,Texas,2,2,4,Two men were killed and two others wounded in a believed targeted drive-by shooting. Eyewitnesses are not cooperating with police.
25/11/2021,South Carolina,0,4,4,Four people were wounded and transported to the hospital in private vehicles.
23/11/2021,Florida,0,4,4,Four people were wounded after a large party was ending. Police believe it connected to another incident near a local hospital.
23/11/2021,Texas,1,3,4,A man was killed and three others wounded shortly before noon. A suspect was arrested.
22/11/2021,North Carolina,2,2,4,Two men were killed and two juveniles were wounded while in a vehicle outside an apartment complex.
21/11/2021,Louisiana,1,4,5,A man was killed and four others were wounded in the parking lots of a local club.
21/11/2021,New Jersey,0,5,5,Four adults and one child were shot during a backyard party.
20/11/2021,California,2,2,4,Two men were killed and two wounded at an apartment complex.
20/11/2021,Illinois,0,4,4,Four people were wounded at a local bar in the early morning.
18/11/2021,Maryland,1,3,4,"One teen was killed, and three other teens were wounded in two separate but related shootings on the same block."
17/11/2021,Illinois,1,3,4,A man was killed and three others wounded in an afternoon shooting.
17/11/2021,New York,0,4,4,Two adults and two teens were wounded in a potentially targeted drive-by in Williamsbridge.
17/11/2021,New York,0,4,4,Four teens were shot during a gunfight near a high school.
17/11/2021,Illinois,0,4,4,Four people were wounded in a drive-by shooting shortly after midnight on the Near West Side.
15/11/2021,New York,0,4,4,Four men were shot outside of a bodega in Harlem.
15/11/2021,Colorado,0,6,6,Six teenagers were wounded in a drive-by shooting at a park located across from a high school.
14/11/2021,Pennsylvania,0,6,6,"Three men and three women were shot, one man critically."
14/11/2021,Missouri,1,5,6,"Two men opened fire at each other at a lounge, wounding five. One of the shooters was killed by responding police."
14/11/2021,Oregon,2,2,4,"Four people were shot, two of the victims fatally.  A man from Klamath Falls was arrested and charged with murder."
14/11/2021,Arizona,4,1,5,"Four men arrived at a trailer park and confronted a homeowner and a guest, leading to the homeowner shooting and killing the four men and the guest being injured by the four attackers."
14/11/2021,Alabama,1,5,6,A man was killed and five others wounded at a gas station in the early morning.
13/11/2021,North Carolina,0,4,4,Four people were wounded after several people opened fire at a party.
13/11/2021,Louisiana,0,4,4,"Four people were wounded at a high school homecoming after-party, after multiple attendees began shooting."
12/11/2021,Virginia,2,2,4,Two children were killed and two adults wounded on the East End.
12/11/2021,Alabama,2,2,4,"Two wounded were found outside a vehicle, where two were found deceased in the backseat. Several weapons were found in the vehicle."
09/11/2021,New York,0,4,4,Four teenagers were wounded in an evening shooting.
09/11/2021,South Dakota,3,2,5,Three adults were killed and an adult and child were wounded after an argument escalated inside a home.
09/11/2021,Louisiana,1,4,5,A man was killed and three adults and a teenager wounded in an ambush-style shooting outside a grocery store.
08/11/2021,Pennsylvania,0,4,4,Three teenagers and an adult were wounded after three of them exited a local store in Feltonville and were chased down the street.
07/11/2021,Wisconsin,1,3,4,A man was killed and three others wounded in the early morning.
06/11/2021,California,2,2,4,Two people were killed and two wounded at a family birthday party.
06/11/2021,Texas,0,6,6,Six people were wounded in the early morning at a large community event.
06/11/2021,California,0,4,4,"Shortly after midnight a man opened fire at a local bar, wounding four."
05/11/2021,California,1,3,4,A man was killed and three wounded in a drive-by shooting in East Oakland.
03/11/2021,Iowa,0,4,4,Four people were wounded in an evening shooting a block away from a middle school.
03/11/2021,Virginia,3,2,5,A man killed three women and wounded two in a targeted domestic dispute. One of the wounded was targeted and the others attempted to help her.
02/11/2021,Alabama,0,4,4,A woman shot and wounded four in a bowling alley after a fight escalated.
01/11/2021,Florida,0,4,4,"After an online dispute, a person shot four people in Downtown Orlando."
01/11/2021,Texas,0,4,4,Four people were wounded in an evening drive-by on the West Side.
31/10/2021,Illinois,1,3,4,Four people were shot just after midnight on Halloween.
31/10/2021,Colorado,2,2,4,"Four people were shot, two fatally."
31/10/2021,Texas,1,9,10,A woman was shot and killed and nine injured at a large Halloween party of hundred people.
31/10/2021,Kentucky,2,2,4,Two cousins working as security were shot and killed. Two others were wounded.
31/10/2021,Texas,1,3,4,An 18-year-old was arrested after killing a man and wounding three others in a drive-by shooting.
31/10/2021,Illinois,2,12,14,Two people were killed and several wounded after two men opened fire on a Halloween party.
30/10/2021,California,1,3,4,One person was killed and three wounded after a shooting at a house party. The party occurred at the home of a Gilroy councilwoman.
30/10/2021,Texas,1,9,10,A man was killed and several people wounded after a shooting at a Halloween party.
30/10/2021,Oklahoma,0,4,4,Four people were wounded in a residential area in the early morning.
30/10/2021,Illinois,0,4,4,Four people were wounded at a large house party in the early morning.
30/10/2021,Florida,1,4,5,A man was killed and four others wounded at an outdoor boxing match at the Skyway Plaza.
30/10/2021,California,2,5,7,Two people were killed and five injured at a Halloween party that was held at a local banquet hall.
29/10/2021,Michigan,0,4,4,Four people were shot at a party inside an event center.
29/10/2021,New York,0,5,5,Three people were wounded at a birthday party and two more were wounded as the tour bus transporting some of the wounded was later shot at.
28/10/2021,Nevada,0,4,4,Four people were wounded after an argument in an alley escalated.
28/10/2021,Tennessee,1,3,4,A man was killed and three wounded in a suspected robbery shortly before midnight.
25/10/2021,Idaho,3,4,7,"Two people, including a security guard, were shot and killed at a mall, and four others were wounded. The shooter was injured by responding officers and died the next day after being taken into custody."
25/10/2021,Tennessee,0,4,4,Three teenagers and an adult were wounded after a shooting near an elementary school.
24/10/2021,California,2,2,4,"Two people were killed, and two others injured at an off-roading event."
24/10/2021,Mississippi,2,3,5,Two people were killed and three injured in a shooting on Jones Street.
23/10/2021,South Carolina,0,6,6,Six people were wounded in an early morning shooting at a local bar.
23/10/2021,California,1,4,5,A teenager was killed and one adult and three juveniles wounded at a Halloween party.
23/10/2021,Georgia,1,7,8,A man was killed and seven others wounded at an off-campus party about two blocks from Fort Valley State University.
22/10/2021,Illinois,0,5,5,Five people were wounded outside a Chatham liqueur store when a man opened fire and then fled.
22/10/2021,Washington,0,4,4,Four people were wounded in the parking lot of a banquet hall that was hosting a Halloween party.
22/10/2021,Maryland,0,7,7,Five adults and two teenagers were wounded in a drive-by shooting.
21/10/2021,Washington,4,0,4,Three adults were killed and a fourth later died at the hospital in a night time shooting.
21/10/2021,New York,0,4,4,A gunman exited a subway station and shot four people in the Flatbush section of Brooklyn.
20/10/2021,Michigan,4,0,4,"A woman shot and killed her father, sister and two workers at their home in the afternoon."
19/10/2021,Wisconsin,3,2,5,"A man killed his roommate's teenage daughter and her boyfriend, and wounded his roommate and her 14-year-old son. He later killed himself."
17/10/2021,Texas,0,5,5,Responding officers found an SUV in a ditch with bullet holes and blood near Winzer Park. Four adults and a juvenile were later identified at local hospitals although none had reached out to police.
17/10/2021,Missouri,1,3,4,A 19-year-old was killed and three teenagers were wounded in the early morning in the Baden neighborhood.
17/10/2021,Arkansas,0,4,4,Responding officers found four people wounded and shell casings around a car in the intersection.
17/10/2021,Colorado,0,5,5,Five people were wounded outside a local bar after an unknown number of people opened fire.
17/10/2021,Louisiana,1,7,8,A person was killed and seven others wounded at Grambling State University during a homecoming event in the early morning.
17/10/2021,Wisconsin,0,6,6,Six people were wounded at a one-year anniversary vigil for a man killed in the location. Neighbors refused to cooperate with police due to fear of retaliation.
17/10/2021,Arkansas,1,7,8,"Gunfire erupted at a party hall wounding eleven and killing one, responding police opened fire on a man holding a gun and wounded him."
17/10/2021,Mississippi,3,3,6,Three people were killed and three injured after a man opened fire inside a night club.
16/10/2021,Texas,1,3,4,Four people were wounded in the parking lot of a club in the early morning. One of the wounded died two days later.
15/10/2021,Alabama,0,5,5,Five people were wounded at a high school football game.
14/10/2021,Minnesota,1,4,5,Responding police found five people wounded in Ventura Village. One of the wounded later died at the hospital.
12/10/2021,Florida,1,5,6,A man was killed and three others wounded after two shooters opened fire on a Naples Park home. The shooters were also wounded.
12/10/2021,Mississippi,3,1,4,Three adults were killed in a home and an infant was found wounded.
11/10/2021,Georgia,0,6,6,"Three wounded were found by responding officers, a fourth flagged down officers and two others were found at local hospitals."
10/10/2021,South Carolina,2,3,5,Two people were killed and three injured in a shooting near a nightclub.
10/10/2021,Minnesota,1,14,15,One person was killed and 14 injured in a shootout at a bar.
10/10/2021,Iowa,0,4,4,Four bystanders were wounded at an after hours club  in an early morning targeted shooting.
10/10/2021,Illinois,1,4,5,A man was killed and four others injured in an early morning drive-by outside a Wicker Park nightclub.
10/10/2021,Delaware,1,4,5,A man was killed and four others wounded after a drive-by shooting at a house party in the early morning.
09/10/2021,Texas,0,4,4,Three 18-year-olds and a 16-year-old were wounded in South Dallas.
09/10/2021,New York,1,6,7,Responding officers found one man deceased and six wounded were later found in local hospitals.
09/10/2021,Colorado,1,3,4,Responding officers found one man killed and three wounded.
09/10/2021,Louisiana,2,4,6,Two people were killed and three others wounded after a man went on a multi-parish shooting spree. He was later arrested with a self-inflicted gunshot wound and a dog bite.
08/10/2021,Maryland,0,4,4,Four men were wounded in Southeast Baltimore in the afternoon.
08/10/2021,"Washington, D.C.",1,3,4,"Responding police discovered a deceased man and another wounded, with two more identified at local hospitals."
07/10/2021,Wisconsin,3,1,4,Three adults were killed and another wounded after two men came back thirty minutes after an argument over parking and opened fire.
07/10/2021,Illinois,0,4,4,Two teenagers and two adults were wounded in the early morning after someone opened fire on another car on the Near North Side.
07/10/2021,Wisconsin,0,5,5,Five people were wounded when a police officer opened fire on an armed suspect who returned fire before he fled the area.
06/10/2021,Maryland,1,5,6,A woman was killed and five people were wounded in East Baltimore.
06/10/2021,Ohio,0,4,4,Four adults were wounded at a music studio shortly before midnight.
06/10/2021,Louisiana,1,3,4,A man was killed and three others wounded after four people exited a vehicle and opened fire on them. The victims were doing work in a parking lot behind a church.
05/10/2021,Illinois,1,3,4,Responding police found four injured due to an evening shooting and one later died at the hospital.
05/10/2021,Minnesota,0,4,4,A teen shot four people inside a vehicle at an intersection.
04/10/2021,Minnesota,0,4,4,Three men and a juvenile were wounded at a local gas station.
03/10/2021,South Carolina,1,4,5,A man was killed and four others wounded in an early morning drive by shooting at a Waffle House.
02/10/2021,Colorado,1,3,4,"A man was killed and two adults and a teenager were wounded at an early morning hotel party,"
02/10/2021,Texas,1,3,4,A man was killed and two adults and a teenager wounded at an apartment complex.
01/10/2021,"Washington, D.C.",1,5,6,Five adults were wounded and one killed in Southwest D.C. late at night.
01/10/2021,Iowa,0,6,6,Five adults and a teenager were wounded after an argument at a hotel birthday party celebration escalated.
29/09/2021,Illinois,0,5,5,Five bystanders were wounded when passengers of two separate cars opened fire on one another while driving down a Fulton River District road.
28/09/2021,Illinois,1,3,4,A woman was killed and three others injured in the early morning after a man opened fire on a car in Park Manor.
28/09/2021,Minnesota,1,3,4,A man was fatally shot and three others injured in a gunfire incident on Bloomington Avenue in the Phillips neighborhood.
27/09/2021,Illinois,1,3,4,A man was killed and two adults and a teenager wounded in Humboldt Park on the Northwest Side.
27/09/2021,New York,0,5,5,A man opened fire outside a club in Inwood in Upper Manhattan wounding four. Responding officers opened fire an wounded him.
26/09/2021,Washington,3,3,6,Two groups of people began fighting in a bar and others joined in as it spilled into the parking lot. Some fighters got into cars and opened fire while driving away killing three and wounding three others.
26/09/2021,Illinois,0,6,6,Six adults were wounded in East Garfield Park on the West Side in the early morning.
26/09/2021,California,0,4,4,Four people including a teenager were wounded in East Oakland.
25/09/2021,New York,0,4,4,Four men were wounded in the early morning.
25/09/2021,Tennessee,2,5,7,Responding police found two adults killed and four adults and a child wounded.
25/09/2021,California,0,6,6,Shortly after midnight six people were wounded at a large house party.
25/09/2021,Tennessee,4,0,4,Two adults arrived at a home and engaged in an argument with the four adults there over a 10-month old. The dispute escalated and the four adults living at the home were killed and the two suspects kidnapped the child.
24/09/2021,South Carolina,4,1,5,A man murdered his parents and sister and wounded another sibling before committing suicide.
24/09/2021,California,0,4,4,Four people were wounded at the Rosa Parks Metro Station in Willowbrook.
23/09/2021,Tennessee,2,14,16,"Collierville Kroger shooting: A worker at a third-party venue inside the store opened fire in a Kroger, killing one and injuring 14, before taking his own life."
23/09/2021,Pennsylvania,0,4,4,Four men were wounded in the Mantua neighborhood.
22/09/2021,North Carolina,2,2,4,Two teenagers were killed and two others injured in a home invasion. Three days earlier a relative of the two deceased had been killed in another home.
21/09/2021,"Washington, D.C.",0,5,5,"A man opened fire and wounded four adults and one child near Alabama Avenue, Southeast."
20/09/2021,California,1,4,5,"A man was killed and four others wounded, with the deceased found behind the wheel of a vehicle."
20/09/2021,Pennsylvania,1,5,6,A man was killed and five others injured in a drive-by shooting in the Fern Rock neighborhood.
20/09/2021,Missouri,1,3,4,"A man was killed and three others wounded while at a vigil for another homicide victim, when a group of people opened fire from a black SUV."
19/09/2021,South Carolina,1,7,7,After an argument escalated someone opened fire shortly after midnight killing one adult and wounding one adult and seven children.
19/09/2021,Florida,0,4,4,"During an argument one of the victims pulled out her gun and pointed it at the ground, after things calmed down she put it away and began to enter a car with her husband, and two children. The man she was arguing with opened fire once they got to the car, wounding her, her husband and two children."
19/09/2021,Texas,2,4,6,Two adults were killed and three others and a teenager wounded shortly after midnight when a man opened fire.
19/09/2021,California,1,3,4,A man was killed and three others wounded in the early morning while outside a club.
19/09/2021,Illinois,0,5,5,"Five people were wounded while sitting on a porch in Austin during the early morning, after two men exited a vehicle and opened fire."
19/09/2021,New York,2,2,4,"Two people were killed and two injured after someone shot down an alley at a group standing outside, who were attending a party. The shooting occurred on the anniversary of a similar mass shooting in 2020."
18/09/2021,New York,1,3,4,"A man was killed and three others wounded at a BBQ at Claremont Park in the Bronx, after an argument escalated."
18/09/2021,Illinois,2,2,4,Two people were killed and two wounded at a liquor store in the early morning.
18/09/2021,New York,0,4,4,Four people were shot outside a club in the East Flatbush area of Brooklyn after a dispute.
18/09/2021,Louisiana,0,5,5,Five family members were injured after a gunman opened fire on their mobile home at night.
17/09/2021,Georgia,0,4,4,Four people were wounded in the early morning at a night club. Two men were later arrested.
14/09/2021,Maryland,0,4,4,Three teenagers and a boy were injured in a shooting.
14/09/2021,Ohio,0,6,6,Six people were wounded after an incident at a liquor store escalated.
13/09/2021,Wisconsin,0,5,5,Five people were wounded in a shooting at a candlelight vigil near the intersection in Sherman Park. The vigil was held for a 16-year-old who was killed at the same intersection earlier that day.
12/09/2021,Minnesota,4,0,4,"An SUV with four deceased adults was found in a local cornfield in Wheeler, Wisconsin. It was discovered later that the four victims were shot in Saint Paul following an argument at a bar with the shooter. The perpetrator's father followed his son in a vehicle on the way to Wheeler and then gave his son a ride home after his son abandoned the SUV in the cornfield."
12/09/2021,Texas,0,4,4,Four people were found wounded from a shooting.
12/09/2021,Michigan,2,4,6,Two women were killed and four others wounded in a drive-by shooting that targeted a family birthday party.
12/09/2021,Illinois,2,2,4,"Three people were found wounded on the street by police, and a fourth victim was located after he fled to the hospital. Two of the victims perished at the hospital."
11/09/2021,Alabama,0,5,5,Five teenagers were wounded at a party at a local shopping center.
11/09/2021,Illinois,1,3,4,A man was killed and three others injured in South Side drive-by shooting.
11/09/2021,Illinois,1,5,6,A woman was killed and four adults and a teenager wounded in a West Pullman drive-by while walking as a group.
11/09/2021,New Jersey,0,4,4,Responding officers discovered two wounded from an early morning shooting. Two others arrived were identified at the hospital.
11/09/2021,New York,0,4,4,Responding officers found four men wounded.
10/09/2021,Florida,0,4,4,"Deputies were called after a man got drunk and fired shots into the air. He then opened fire on the security guard and officers, before driving down the road, getting into a car accident and opening fire on those in the car. He wounded the security guards and three in the vehicle."
09/09/2021,Illinois,0,7,7,Six adults and a child were wounded in a drive-by shooting. The suspects attempted to flee the area but were hit by a MetroLink train.
09/09/2021,Alabama,1,3,4,Responding officers found one child deceased and two adults and another child injured.
08/09/2021,Missouri,0,4,4,Four people were wounded after two men got into an argument after one was seen arguing and pistol whipping a woman.
07/09/2021,Kansas,1,5,6,"After getting kicked out of a night club shortly after midnight, a man opened fire killed a man and wounded five women."
07/09/2021,Delaware,0,4,4,Four people were wounded in a local park in the Southbridge neighborhood after a drive-by shooting.
06/09/2021,Georgia,0,5,5,"A man opened fire after an argument at a local Black Pride festival, wounding five."
05/09/2021,Michigan,0,4,4,Four men were injured in a shooting outside a rollerskating rink on Eight Mile Road in the west side.
05/09/2021,Missouri,0,4,4,An adult and three teenagers were wounded at a local festival after two people got into an argument and one opened fire.
05/09/2021,New York,0,4,4,Four adults were wounded outside a catering hall in the Bronx after an argument escalated.
05/09/2021,Missouri,0,4,4,Four adults were wounded at a family car show after two men opened fire on the crowd in suspected gang violence.
05/09/2021,Texas,4,0,4,Firefighters discovered a husband and wife and two children deceased when responding to a house fire. Family members believe the family had been dead for days before the fire.
05/09/2021,Georgia,0,7,7,A man fired into a crowd of people that were fighting in the early morning. He wounded seven and turned himself in the next day.
05/09/2021,Florida,4,2,6,"A former Marine sharpshooter shot and killed three adults, an infant, and a dog and wounded a child inside and outside a home, before engaging in a shootout with police. The shooter was eventually injured in the gunfight and then apprehended."
05/09/2021,Ohio,0,4,4,"Three adults and a teenager were wounded after an argument outside a Mt. Washington home. The victims went inside, before the suspect fired through the door."
04/09/2021,Alabama,2,2,4,Two people were killed and two injured after an argument inside a strip mall store escalated. Three people were arrested and one went on the run.
04/09/2021,Louisiana,1,3,4,"Responding officers found four people injured, with one later dying at the hospital."
04/09/2021,"Washington, D.C.",3,3,6,"Six people were found injured in Northwest DC, with three later dying at a hospital."
04/09/2021,Georgia,1,4,5,A teenager was killed and four others injured while attending a block party.
04/09/2021,Pennsylvania,0,4,4,A teenager shot four people on the street in Homewood South.
04/09/2021,Illinois,0,5,5,Five people were injured in a drive-by shooting in Lawndale shortly after midnight.
03/09/2021,New York,0,4,4,Four adults were wounded in an early morning shooting during an outdoor party.
03/09/2021,Texas,1,3,4,A woman was killed and three others injured in an apartment complex close to US Highway 290 in East Austin.
03/09/2021,Louisiana,1,3,4,"One person was killed and three injured outside a shoe store in a strip mall, after two men exited a car and opened fire."
02/09/2021,New York,0,4,4,Four people were wounded after shooters opened fire on them across the street while they were standing outside a deli.
31/08/2021,North Carolina,2,2,4,A man killed one person and wounded two others before kidnapping a woman and infant. He later killed the woman and left the baby alive in the stolen vehicle and is still on the run.
30/08/2021,Illinois,3,3,6,"A man killed two people and wounded three others in a mobile home park, before being killed by responding police."
29/08/2021,Tennessee,0,5,5,Five people were wounded in an early morning drive by shooting on Jefferson Street.
29/08/2021,Nevada,1,3,4,Three adults were wounded and one was killed near Rainbow Boulevard.
29/08/2021,Wisconsin,0,4,4,An adult and three teenagers were wounded.
